1006	01/01/2019	30.89
1017	08/01/2019	58.41
1010	15/01/2019	30.59
1001	22/01/2019	171.55
1021	29/01/2019	96.45
1006	05/02/2019	60.55
1025	12/02/2019	39.92
1008	19/02/2019	105.63
1019	26/02/2019	43.93
1005	05/03/2019	118.76
1026	12/03/2019	231.52
1014	19/03/2019	182.83
1025	26/03/2019	49.57
1014	02/04/2019	102.13
1008	09/04/2019	132.73
1006	16/04/2019	77.05
1016	23/04/2019	172.37
1004	30/04/2019	63.00
1013	07/05/2019	112.86
1010	14/05/2019	74.48
1000	21/05/2019	329.87
1024	28/05/2019	56.40
1021	04/06/2019	21.54
1012	11/06/2019	110.95
1021	18/06/2019	114.37
1002	25/06/2019	59.79
1024	02/07/2019	63.21
1008	09/07/2019	244.70
1012	16/07/2019	112.26
1007	23/07/2019	118.00
1020	30/07/2019	97.91
1005	06/08/2019	156.52
1007	13/08/2019	69.73
1003	20/08/2019	80.86
1016	27/08/2019	102.80
1003	03/09/2019	106.12
1028	10/09/2019	81.82
1029	17/09/2019	240.53
1010	24/09/2019	77.26
1012	01/10/2019	236.85
1008	08/10/2019	68.58
1000	15/10/2019	117.62
1007	22/10/2019	24.62
1002	29/10/2019	113.95
1001	05/11/2019	42.07
1005	12/11/2019	93.19
1005	19/11/2019	198.08
1025	26/11/2019	101.37
1024	03/12/2019	160.93
1028	10/12/2019	107.33
1007	17/12/2019	55.10
1020	24/12/2019	331.04
1002	31/12/2019	115.53
