1	6	6	5	72	2019-01-01
2	15	16	14	61	2019-01-02
2	9	12	5	50	2019-01-03
6	5	7	3	89	2019-01-04
5	14	16	11	69	2019-01-05
4	10	10	10	83	2019-01-06
0	18	20	16	65	2019-01-07
6	24	24	24	51	2019-01-08
5	19	19	19	60	2019-01-09
1	3	4	2	63	2019-01-10
3	7	8	6	75	2019-01-11
3	14	16	12	54	2019-01-12
2	23	24	21	54	2019-01-13
6	2	2	2	74	2019-01-14
5	6	7	4	74	2019-01-15
2	10	12	7	75	2019-01-16
6	16	18	14	64	2019-01-17
7	11	13	8	79	2019-01-18
1	2	2	2	58	2019-01-19
5	1	4	-2	65	2019-01-20
1	7	7	7	55	2019-01-21
6	9	10	7	54	2019-01-22
5	16	16	16	74	2019-01-23
4	0	1	-1	72	2019-01-24
9	0	1	-1	84	2019-01-25
6	1	4	-3	52	2019-01-26
2	6	7	5	61	2019-01-27
1	24	24	23	78	2019-01-28
1	18	20	16	86	2019-01-29
5	2	2	2	51	2019-01-30
8	9	11	6	88	2019-01-31
6	17	18	15	57	2019-02-01
5	9	9	8	51	2019-02-02
4	10	13	7	61	2019-02-03
8	24	24	24	52	2019-02-04
4	23	24	21	83	2019-02-05
1	9	11	6	76	2019-02-06
4	4	4	3	74	2019-02-07
3	2	3	1	59	2019-02-08
2	8	9	6	66	2019-02-09
1	10	12	7	51	2019-02-10
1	20	20	19	78	2019-02-11
8	22	23	20	88	2019-02-12
3	5	8	2	71	2019-02-13
8	9	9	8	58	2019-02-14
2	18	18	18	85	2019-02-15
6	11	11	10	54	2019-02-16
8	3	6	-1	63	2019-02-17
1	7	7	6	52	2019-02-18
0	-1	0	-1	77	2019-02-19
5	20	20	20	88	2019-02-20
3	17	19	15	79	2019-02-21
4	3	3	2	71	2019-02-22
3	-4	0	-7	51	2019-02-23
8	21	24	17	55	2019-02-24
3	-1	1	-2	87	2019-02-25
3	-3	0	-6	79	2019-02-26
8	12	12	12	77	2019-02-27
5	5	6	4	64	2019-02-28
5	15	16	14	55	2019-03-01
8	18	19	16	68	2019-03-02
2	11	14	7	64	2019-03-03
1	12	14	9	59	2019-03-04
6	10	11	9	56	2019-03-05
4	22	22	21	70	2019-03-06
9	2	2	1	71	2019-03-07
3	10	10	9	76	2019-03-08
1	-1	2	-4	84	2019-03-09
4	9	10	7	53	2019-03-10
8	8	9	7	51	2019-03-11
4	21	22	20	51	2019-03-12
5	17	18	16	55	2020-01-01
2	15	18	11	60	2020-01-02
6	4	5	3	73	2020-01-03
4	12	13	11	60	2020-01-04
8	2	4	0	75	2020-01-05
2	14	17	10	64	2020-01-06
2	17	17	17	62	2020-01-07
7	20	21	18	76	2020-01-08
2	9	9	8	87	2020-01-09
8	14	15	13	88	2020-01-10
8	1	1	0	78	2020-01-11
1	7	9	5	72	2020-01-12
3	23	24	22	61	2020-01-13
5	13	16	9	67	2020-01-14
8	4	6	2	76	2020-01-15
6	22	23	20	66	2020-01-16
5	4	4	3	62	2020-01-17
7	22	22	21	52	2020-01-18
5	14	14	13	68	2020-01-19
3	14	16	12	68	2020-01-20
3	14	15	13	71	2020-01-21
3	4	4	3	64	2020-01-22
7	2	5	-1	82	2020-01-23
3	1	3	-2	70	2020-01-24
9	3	3	3	82	2020-01-25
7	6	9	3	74	2020-01-26
5	5	7	3	59	2020-01-27
2	1	4	-3	78	2020-01-28
9	15	15	15	51	2020-01-29
4	13	16	9	57	2020-01-30
1	16	19	12	88	2020-01-31
5	19	20	18	59	2020-02-01
8	15	16	13	59	2020-02-02
5	20	22	18	66	2020-02-03
0	12	12	12	72	2020-02-04
