3	14:21	0	0	53.41
0	15:10	1	0	97.52
4	14:39	0	0	60.79
1	11:18	0	0	2.59
4	11:21	1	0	23.29
1	18:27	1	0	43.03
0	13:00	1	0	96.81
4	09:38	1	1	55.41
0	10:20	0	1	78.52
1	18:22	0	1	37.38
4	12:43	1	0	77.71
2	15:24	1	0	43.26
1	16:21	1	1	78.5
2	11:03	1	1	19.26
1	15:56	0	0	30.94
4	17:01	0	1	34.89
0	18:16	0	1	5.79
4	13:17	1	1	21.43
1	16:22	1	1	78.02
2	10:48	0	1	46.84
2	13:26	1	1	99.87
2	13:55	0	1	28.7
1	14:20	0	0	92.42
2	11:32	1	1	38.28
2	13:16	1	1	96.19
4	19:17	1	0	27.31
4	14:35	0	1	12.32
1	14:52	0	1	78.99
1	14:34	1	0	79.17
3	16:42	0	1	48.99
4	17:34	1	1	75.42
1	15:48	1	0	36.81
0	11:01	1	0	22.29
4	14:14	1	1	96.69
2	10:36	1	1	19.87
0	14:02	1	0	34.38
2	17:01	1	1	6.17
1	13:42	0	0	2.31
2	10:35	1	0	2.09
2	12:32	0	0	62.47
4	18:11	0	0	38.64
2	15:28	0	1	33.92
3	12:03	1	0	91.85
0	18:19	1	0	60.94
1	10:55	1	1	15.62
1	10:17	0	0	77.28
2	16:18	0	1	86.53
3	11:43	1	1	6.95
1	19:10	1	1	87.49
0	16:26	0	0	42.84
2	09:49	0	1	76.81
0	16:06	0	0	43.78
0	10:26	0	0	67.22
3	19:04	0	0	24.45
3	10:52	0	0	82.01
3	12:27	0	0	91.56
3	12:16	1	1	16.61
3	09:28	1	0	2.27
0	15:37	0	1	95.53
1	11:39	1	1	18.51
3	16:09	0	1	51.38
3	15:16	0	1	57.66
1	17:20	1	0	54.25
0	15:42	0	0	73.48
2	13:08	0	1	53.55
4	12:06	0	1	19.6
4	17:07	0	1	6.72
2	16:31	0	1	76.02
1	11:44	1	0	79.49
2	16:49	1	1	87.81
1	11:02	1	1	83.52
2	10:37	0	0	57.85
4	14:08	1	1	44.71
1	13:23	0	0	23.21
1	17:38	1	0	24.2
1	10:54	0	0	61.54
0	18:44	0	1	68.93
1	13:56	0	0	10.62
2	12:22	0	1	8.24
3	13:35	1	1	9.35
1	09:26	1	1	9.32
4	12:10	1	1	32.3
2	17:33	0	1	0.72
3	11:53	1	0	94.45
4	09:50	0	1	18.57
3	17:23	1	1	84.42
4	11:03	0	1	13.89
3	16:19	0	0	73.23
2	18:45	0	1	54.25
3	16:46	0	1	59.83
2	13:42	1	1	77.34
0	13:13	0	0	18.99
3	16:41	0	0	58.49
3	13:34	1	0	72.39
1	17:02	0	0	69.96
4	16:27	0	1	56.55
0	16:07	0	0	35
4	17:05	0	0	47.78
0	17:26	1	1	28.76
3	13:03	0	0	74.61
2	10:58	1	1	76.66
2	11:50	1	0	64.04
4	16:07	0	0	73.74
2	09:31	0	0	29
2	09:55	0	0	22.25
1	15:42	0	0	65.38
3	11:32	0	1	30.2
1	13:00	0	1	90.01
4	15:24	0	1	10.23
3	19:07	0	1	86.49
2	17:30	1	0	51.87
3	18:03	0	0	81.29
0	12:45	0	1	52.56
3	13:27	0	0	78.28
3	18:33	1	1	97.91
4	13:41	1	0	59.3
1	11:17	1	0	17.27
3	17:44	1	0	35.69
2	11:51	1	0	41.46
4	14:37	1	1	81.02
2	15:08	0	0	98.97
